,y
2021-09-01,114471.5478229116
2021-09-02,106752.74218586262
2021-09-03,108921.58512119803
2021-09-04,104101.87141806616
2021-09-05,105046.38527083566
2021-09-06,112239.11038182846
2021-09-07,111496.20721335131
2021-09-08,111704.54398658634
2021-09-09,107714.06122111547
2021-09-10,108912.29678031766
2021-09-11,104890.62607910285
2021-09-12,98282.08975664327
2021-09-13,107645.28386300629
2021-09-14,107139.72814331338
2021-09-15,110176.96379058067
2021-09-16,108398.56392165933
2021-09-17,112513.71610263964
2021-09-18,101314.83410802209
2021-09-19,98482.13605815168
2021-09-20,104942.92006216553
2021-09-21,104928.77212859184
2021-09-22,101543.59194912738
2021-09-23,104554.99014987377
2021-09-24,103650.84284667067
2021-09-25,101753.55516224308
2021-09-26,93666.48981618143
2021-09-27,101627.76207360625
2021-09-28,103993.57639121269
2021-09-29,105085.77560081791
2021-09-30,102185.46802100122
2021-10-01,102656.30084579224
2021-10-02,96826.42624557433
2021-10-03,98096.99298603483
2021-10-04,101803.89422493249
2021-10-05,104098.96206791967
2021-10-06,97606.83904599778
2021-10-07,100368.63591850322
2021-10-08,99413.69371229254
2021-10-09,97574.7105224853
2021-10-10,92263.56801363894
2021-10-11,98436.85997165274
2021-10-12,100223.4521020438
2021-10-13,98801.88345635496
2021-10-14,99738.30846563034
2021-10-15,103211.64254271363
2021-10-16,95843.68287611344
2021-10-17,92076.57414800877
2021-10-18,101024.52628896332
2021-10-19,101933.4318440258
2021-10-20,100395.23188665765
2021-10-21,101479.62622627612
2021-10-22,100416.23121856712
2021-10-23,100022.72559723195
2021-10-24,93877.46024100222
2021-10-25,102120.2588477325
2021-10-26,103485.2724340305
2021-10-27,99764.36129852635
2021-10-28,97300.38904593441
2021-10-29,98078.34860321532
2021-10-30,92950.7742682668
2021-10-31,93941.2155101003
2021-11-01,97998.78239091807
2021-11-02,97331.75516184945
2021-11-03,97421.81706029455
2021-11-04,100757.00427001422
2021-11-05,98571.89060626151
2021-11-06,94421.9927805371
2021-11-07,88812.40333700135
2021-11-08,96405.07445004256
2021-11-09,96065.23290145952
2021-11-10,97617.18112928745
2021-11-11,96647.28423682791
2021-11-12,100312.17225185987
2021-11-13,91811.80699728422
2021-11-14,91143.79839463493
2021-11-15,95333.76139285341
2021-11-16,92933.47266863298
2021-11-17,97866.58546419156
2021-11-18,96739.92514441791
2021-11-19,94704.6041203701
2021-11-20,94703.7887388188
2021-11-21,91708.40403927786
2021-11-22,95502.32867101667
2021-11-23,92429.93659015883
2021-11-24,92168.6371785003
2021-11-25,92620.03303666615
2021-11-26,93597.15848611858
2021-11-27,87617.66146447544
2021-11-28,90101.68203689612
2021-11-29,91100.29715594469
2021-11-30,90774.53869693044
