,y
2021-09-01,20574.064741147293
2021-09-02,20433.6507840133
2021-09-03,20316.050383956866
2021-09-04,20335.938741928647
2021-09-05,20609.541784134944
2021-09-06,20372.153737297424
2021-09-07,20333.99370550006
2021-09-08,20613.52174404291
2021-09-09,20491.13500966217
2021-09-10,20393.665261712053
2021-09-11,20308.663698380315
2021-09-12,20386.095314913477
2021-09-13,20192.373515049596
2021-09-14,20279.117775013332
2021-09-15,20150.292561561586
2021-09-16,20254.493840897358
2021-09-17,19971.71715497235
2021-09-18,19785.872254982565
2021-09-19,19900.59346038414
2021-09-20,19693.93470587289
2021-09-21,19884.822868107585
2021-09-22,19959.2063370515
2021-09-23,20106.054085876993
2021-09-24,20046.83145186346
2021-09-25,19981.391461044044
2021-09-26,20066.524161583464
2021-09-27,19844.231532001668
2021-09-28,20001.69809170809
2021-09-29,20087.173312302013
2021-09-30,19987.113552802646
2021-10-01,19341.352424423672
2021-10-02,19242.74788782253
2021-10-03,19400.04947225191
2021-10-04,19175.1149825907
2021-10-05,19172.9762249002
2021-10-06,19130.134153986466
2021-10-07,19020.91003055433
2021-10-08,18733.467671976494
2021-10-09,18799.375812461498
2021-10-10,18917.68156028698
2021-10-11,18701.462616259236
2021-10-12,18809.29891644848
2021-10-13,18741.050573869095
2021-10-14,18662.89894445264
2021-10-15,18609.438468326818
2021-10-16,18082.563153947867
2021-10-17,18241.083248993513
2021-10-18,17918.504842312348
2021-10-19,17938.923130189127
2021-10-20,17814.973211840486
2021-10-21,17671.07541921704
2021-10-22,17355.00733774051
2021-10-23,17370.99716506532
2021-10-24,17533.53676943735
2021-10-25,17297.158652015496
2021-10-26,17578.32053265846
2021-10-27,17728.447055870423
2021-10-28,17460.322404644296
2021-10-29,17222.008496924944
2021-10-30,17081.768743237786
2021-10-31,17197.45515230482
2021-11-01,16784.19566037347
2021-11-02,16742.062831607163
2021-11-03,16778.922526730443
2021-11-04,16730.022373105618
2021-11-05,16611.416986064803
2021-11-06,16565.9375264679
2021-11-07,16812.72584418568
2021-11-08,16492.066554153036
2021-11-09,16583.376372958857
2021-11-10,16551.309536626828
2021-11-11,16482.303614936343
2021-11-12,16334.167523742324
2021-11-13,16370.539540684755
2021-11-14,16506.20325532716
2021-11-15,16298.728828419335
2021-11-16,16310.279851778463
2021-11-17,16305.5369578851
2021-11-18,16322.344577796364
2021-11-19,15979.057912017122
2021-11-20,15942.522285353933
2021-11-21,16205.838778061245
2021-11-22,15976.159662155946
2021-11-23,15935.293973377004
2021-11-24,16018.015227856937
2021-11-25,15982.86500922053
2021-11-26,15834.255978241346
2021-11-27,15766.375486839657
2021-11-28,15899.725006365892
2021-11-29,15759.051244957574
2021-11-30,15925.098426347722
