,y
2021-09-01,86543.1737230363
2021-09-02,85617.83469353746
2021-09-03,86490.98509439283
2021-09-04,85671.01633248628
2021-09-05,86444.9599429849
2021-09-06,85718.37508084266
2021-09-07,86404.39601467884
2021-09-08,85760.57212670357
2021-09-09,86368.67094071904
2021-09-10,85798.19345304754
2021-09-11,86337.23315081123
2021-09-12,85831.75839224078
2021-09-13,86309.59381983527
2021-09-14,85861.72720747451
2021-09-15,86285.31973061337
2021-09-16,85888.50781182032
2021-09-17,86264.02694853267
2021-09-18,85912.46172299786
2021-09-19,86245.37521567482
2021-09-20,85933.90934079268
2021-09-21,86229.06298260891
2021-09-22,85953.13462417189
2021-09-23,86214.82300531409
2021-09-24,85970.3892363817
2021-09-25,86202.41844294901
2021-09-26,85985.89621854333
2021-09-27,86191.63939949684
2021-09-28,85999.85324538042
2021-09-29,86182.29985879571
2021-09-30,86012.43551061001
2021-10-01,86174.23496820686
2021-10-02,86023.79828412262
2021-10-03,86167.29863126382
2021-10-04,86034.0791782851
2021-10-05,86161.3613741555
2021-10-06,86043.40015645359
2021-10-07,86156.30845489567
2021-10-08,86051.86931301934
2021-10-09,86152.03818757267
2021-10-10,86059.58245097638
2021-10-11,86148.4604572146
2021-10-12,86066.62448004154
2021-10-13,86145.49540358753
2021-10-14,86073.07065573994
2021-10-15,86143.07225471058
2021-10-16,86078.98767754524
2021-10-17,86141.12829305798
2021-10-18,86084.43466210757
2021-10-19,86139.60793935471
2021-10-20,86089.46400577745
2021-10-21,86138.46194058988
2021-10-22,86094.12214901845
2021-10-23,86137.64665039296
2021-10-24,86098.45025386855
2021-10-25,86137.12339126671
2021-10-26,86102.48480434083
2021-10-27,86136.85788936568
2021-10-28,86106.2581385291
2021-10-29,86136.81977356828
2021-10-30,86109.79892018711
2021-10-31,86136.98213152912
2021-11-01,86113.13255666589
2021-11-02,86137.32111622997
2021-11-03,86116.28156931124
2021-11-04,86137.81559728547
2021-11-05,86119.26592172879
2021-11-06,86138.44685191258
2021-11-07,86122.1033107092
2021-11-08,86139.19829105189
2021-11-09,86124.80942406102
2021-11-10,86140.05521664268
2021-11-11,86127.39816911519
2021-11-12,86141.00460650779
2021-11-13,86129.88187523752
2021-11-14,86142.03492370767
2021-11-15,86132.27147330547
2021-11-16,86143.13594758023
2021-11-17,86134.57665476971
2021-11-18,86144.29862400006
2021-11-19,86136.80601262265
2021-11-20,86145.51493267041
2021-11-21,86138.96716633187
2021-11-22,86146.77776951082
2021-11-23,86141.06687256265
2021-11-24,86148.08084242295
2021-11-25,86143.11112330582
2021-11-26,86149.4185789131
2021-11-27,86145.10523284385
2021-11-28,86150.7860442228
2021-11-29,86147.05391482456
2021-11-30,86152.17886877178
