,y
2021-09-01,10553.119133369595
2021-09-02,10706.01465623862
2021-09-03,9872.135588955793
2021-09-04,7756.04633107015
2021-09-05,7528.929078686412
2021-09-06,10528.475552619273
2021-09-07,10498.76558829705
2021-09-08,11112.72553008639
2021-09-09,10917.214804306392
2021-09-10,10567.175985070802
2021-09-11,8018.458616151732
2021-09-12,7488.5947354007585
2021-09-13,10024.531311476298
2021-09-14,10370.07397381259
2021-09-15,10682.010629168932
2021-09-16,10548.822137623909
2021-09-17,9964.138513007018
2021-09-18,7689.078914128625
2021-09-19,7507.091244524214
2021-09-20,9349.126242345186
2021-09-21,9425.960451713283
2021-09-22,9763.320437502765
2021-09-23,9287.987992296055
2021-09-24,8763.757730280173
2021-09-25,6832.909575133638
2021-09-26,6536.824713797829
2021-09-27,8628.074680101241
2021-09-28,8863.1736308899
2021-09-29,9044.54024291703
2021-09-30,8574.671463534212
2021-10-01,7234.090881073615
2021-10-02,5821.267861589499
2021-10-03,5413.70905286368
2021-10-04,7341.9247410043035
2021-10-05,7503.782146519013
2021-10-06,7499.200219039597
2021-10-07,7312.110163575512
2021-10-08,7244.18485549089
2021-10-09,5485.238967621524
2021-10-10,5516.143460576287
2021-10-11,7435.999974037357
2021-10-12,7769.273444677864
2021-10-13,7615.634062498398
2021-10-14,7504.162171762902
2021-10-15,7423.852806972002
2021-10-16,5670.9423917528175
2021-10-17,5210.533908611269
2021-10-18,7190.235296309439
2021-10-19,7553.063688532074
2021-10-20,7576.513713322341
2021-10-21,7355.610520613089
2021-10-22,7251.430755247208
2021-10-23,5307.675348130491
2021-10-24,5393.576677799502
2021-10-25,7012.034396705513
2021-10-26,7077.855131490244
2021-10-27,6998.970029573339
2021-10-28,6956.531572922384
2021-10-29,6921.78479905241
2021-10-30,4893.576185395344
2021-10-31,4824.985916842888
2021-11-01,6765.021348857669
2021-11-02,6595.477121627419
2021-11-03,6618.04623535904
2021-11-04,6437.398323414346
2021-11-05,6551.9273691349035
2021-11-06,4525.865666230177
2021-11-07,4470.286489881647
2021-11-08,6333.821347444944
2021-11-09,6021.947343669285
2021-11-10,6101.314085917908
2021-11-11,6179.044948943807
2021-11-12,6231.6743069994145
2021-11-13,4287.165442832017
2021-11-14,4161.570603359716
2021-11-15,6157.2717563816805
2021-11-16,5945.084550180942
2021-11-17,6036.420409605496
2021-11-18,6230.123157022473
2021-11-19,6207.383193306511
2021-11-20,4247.776438950525
2021-11-21,4129.811186779584
2021-11-22,5968.7421713105
2021-11-23,5643.128939361336
2021-11-24,5965.108847588283
2021-11-25,6120.176140338597
2021-11-26,6049.968455395235
2021-11-27,4337.967150700461
2021-11-28,4143.758990036077
2021-11-29,6061.251589508597
2021-11-30,5865.5266911784165
