,y
2021-09-01,3701.3275651769322
2021-09-02,3657.215241194944
2021-09-03,3526.023965994637
2021-09-04,3397.731798534877
2021-09-05,3434.8148573860785
2021-09-06,3533.129091974544
2021-09-07,3645.403157990122
2021-09-08,3495.7642773664343
2021-09-09,3708.777076187334
2021-09-10,3600.3460690167717
2021-09-11,3488.0170951502964
2021-09-12,3387.6946567722807
2021-09-13,3450.1592314542377
2021-09-14,3467.654324833942
2021-09-15,3580.3728018585716
2021-09-16,3574.669315215777
2021-09-17,3449.8224018487012
2021-09-18,3417.0074681572023
2021-09-19,3346.3659446982197
2021-09-20,3360.355592527551
2021-09-21,3420.2386587360184
2021-09-22,3387.9914131013843
2021-09-23,3400.4304875889407
2021-09-24,3279.8114242625165
2021-09-25,3235.143228464753
2021-09-26,3260.544271918187
2021-09-27,3287.6939648614043
2021-09-28,3375.6024115853156
2021-09-29,3358.6131141738842
2021-09-30,3314.695025960628
2021-10-01,2951.291019902699
2021-10-02,3008.075227540847
2021-10-03,2937.412081674276
2021-10-04,2991.549418308857
2021-10-05,3077.556704871969
2021-10-06,3001.5408460839735
2021-10-07,2976.304078779798
2021-10-08,2885.126134296607
2021-10-09,2862.7737918418425
2021-10-10,2832.474423334735
2021-10-11,2906.636326988413
2021-10-12,2973.3552957473785
2021-10-13,2934.358182144173
2021-10-14,2916.534574088922
2021-10-15,2795.9284293658743
2021-10-16,2794.704165303088
2021-10-17,2717.127941734162
2021-10-18,2774.164426806499
2021-10-19,2853.0746225494327
2021-10-20,2833.498956143898
2021-10-21,2814.324350110957
2021-10-22,2724.158713257474
2021-10-23,2702.513719095836
2021-10-24,2703.814829046681
2021-10-25,2725.361488766
2021-10-26,2777.691429042589
2021-10-27,2763.4414216384043
2021-10-28,2732.096042030746
2021-10-29,2619.9726127753447
2021-10-30,2507.2200340453874
2021-10-31,2569.4604619276956
2021-11-01,2634.937963779161
2021-11-02,2693.4133920596346
2021-11-03,2641.172657427211
2021-11-04,2588.8314738021218
2021-11-05,2468.007676675549
2021-11-06,2410.846024102671
2021-11-07,2399.773133651723
2021-11-08,2327.330726564594
2021-11-09,2361.7816605366334
2021-11-10,2463.686462001399
2021-11-11,2442.1014371853157
2021-11-12,2293.5005055510023
2021-11-13,2266.282951768863
2021-11-14,2296.7960815203696
2021-11-15,2335.323446246829
2021-11-16,2284.080310781668
2021-11-17,2419.088189282496
2021-11-18,2375.7584843210984
2021-11-19,2308.4075799362
2021-11-20,2186.6977292000897
2021-11-21,2201.5670729441895
2021-11-22,2242.085760413103
2021-11-23,2239.2860430191317
2021-11-24,2341.019591693419
2021-11-25,2287.295547817744
2021-11-26,2225.4348604140355
2021-11-27,2245.642855099994
2021-11-28,2160.223531879001
2021-11-29,2238.9595520287526
2021-11-30,2210.7006314025193
