,y
2021-09-01,3269.910110215875
2021-09-02,3326.409043074121
2021-09-03,3327.5939816677505
2021-09-04,2517.1866307870955
2021-09-05,2468.8791249752207
2021-09-06,3281.4887591465817
2021-09-07,3211.1020965619405
2021-09-08,3291.8804154600443
2021-09-09,3282.2009513325283
2021-09-10,3246.449406299487
2021-09-11,2520.9625595975913
2021-09-12,2430.8562122104613
2021-09-13,3252.0869327201785
2021-09-14,3247.3349925326015
2021-09-15,3269.5873717207214
2021-09-16,3304.3929350403414
2021-09-17,3260.141264052511
2021-09-18,2475.4560511437853
2021-09-19,2426.8109796069966
2021-09-20,3333.3148355439935
2021-09-21,3295.044920144312
2021-09-22,3283.1651418317847
2021-09-23,3229.0126984267677
2021-09-24,3156.268321276834
2021-09-25,2467.4231285626665
2021-09-26,2453.9769561957146
2021-09-27,3182.389744955591
2021-09-28,3212.4684091370023
2021-09-29,3195.293974328413
2021-09-30,3103.6319555403006
2021-10-01,2883.204466776662
2021-10-02,2328.3192996319763
2021-10-03,2325.944456776611
2021-10-04,2962.939456298747
2021-10-05,2899.1638887154327
2021-10-06,2847.1866376592116
2021-10-07,2878.3082238082898
2021-10-08,2938.198099353144
2021-10-09,2421.6085706636227
2021-10-10,2288.440269063451
2021-10-11,3047.7042196652765
2021-10-12,3010.860783235819
2021-10-13,3000.114062166962
2021-10-14,3079.375081433549
2021-10-15,3020.281439334272
2021-10-16,2278.017312561879
2021-10-17,2206.917091168999
2021-10-18,2923.4984844197643
2021-10-19,2928.4035961107875
2021-10-20,2912.890235558963
2021-10-21,2946.015736880967
2021-10-22,2867.583851649262
2021-10-23,2223.051949921351
2021-10-24,2177.205769711331
2021-10-25,2980.835620932991
2021-10-26,2968.25576915623
2021-10-27,2984.1717883250367
2021-10-28,3027.967655321622
2021-10-29,2911.7843914857826
2021-10-30,2217.9523506591095
2021-10-31,2186.068549181124
2021-11-01,2825.625909170473
2021-11-02,2787.3819220854034
2021-11-03,2802.5961887223384
2021-11-04,2838.026027518153
2021-11-05,2785.5305267241965
2021-11-06,2144.2707898144295
2021-11-07,2095.7424424515625
2021-11-08,2773.251817046794
2021-11-09,2727.443265303849
2021-11-10,2753.9150481686506
2021-11-11,2779.018165185235
2021-11-12,2761.216229334019
2021-11-13,2100.7438576306954
2021-11-14,2045.769975838911
2021-11-15,2797.4376900373663
2021-11-16,2796.9654075616513
2021-11-17,2823.896927621096
2021-11-18,2912.1099813649394
2021-11-19,2849.900957116711
2021-11-20,2128.201532166812
2021-11-21,2090.2813046849974
2021-11-22,2786.7305620086104
2021-11-23,2771.4137563105
2021-11-24,2755.40050280659
2021-11-25,2827.0389707282934
2021-11-26,2701.6192387866718
2021-11-27,1995.742278068772
2021-11-28,1924.874946566324
2021-11-29,2687.489269438361
2021-11-30,2692.499703226709
