,y
2021-09-01,1412.6742434302093
2021-09-02,1411.937592710737
2021-09-03,1398.2081551952015
2021-09-04,1395.8470563678802
2021-09-05,1421.319222229482
2021-09-06,1411.0390014988498
2021-09-07,1424.294053050461
2021-09-08,1451.1966001933051
2021-09-09,1432.2778268660593
2021-09-10,1400.664519865143
2021-09-11,1383.1237105128096
2021-09-12,1393.7962906375953
2021-09-13,1433.2385790330463
2021-09-14,1425.8733627258364
2021-09-15,1412.5481599448174
2021-09-16,1434.2027122795942
2021-09-17,1420.7398384262076
2021-09-18,1418.772404894172
2021-09-19,1399.268692493343
2021-09-20,1390.064897266949
2021-09-21,1396.1203985095988
2021-09-22,1407.3882890674977
2021-09-23,1405.7875022857527
2021-09-24,1413.162029147157
2021-09-25,1384.808049727295
2021-09-26,1386.5900176979685
2021-09-27,1369.697239189437
2021-09-28,1346.6369913082913
2021-09-29,1365.4540278863362
2021-09-30,1381.5408318897807
2021-10-01,1379.8976542574317
2021-10-02,1394.1363384348927
2021-10-03,1360.4926662609848
2021-10-04,1355.1602426867944
2021-10-05,1367.1752141839959
2021-10-06,1355.5680964093065
2021-10-07,1340.1594550785205
2021-10-08,1358.3535606000744
2021-10-09,1376.6642097365432
2021-10-10,1390.1296909263783
2021-10-11,1348.8394974600672
2021-10-12,1357.5347704944359
2021-10-13,1367.6678835963387
2021-10-14,1354.1675580708156
2021-10-15,1364.4325393284832
2021-10-16,1373.5631039289117
2021-10-17,1373.8323479219252
2021-10-18,1401.6065857901751
2021-10-19,1393.9067175002165
2021-10-20,1363.4838096512826
2021-10-21,1351.4277952708921
2021-10-22,1345.5068694427757
2021-10-23,1352.3881784529917
2021-10-24,1349.3382460736955
2021-10-25,1344.7425845847017
2021-10-26,1375.1563645731655
2021-10-27,1378.0588210445985
2021-10-28,1358.6363031429644
2021-10-29,1351.3380168978917
2021-10-30,1341.3052737539595
2021-10-31,1351.7387935344898
2021-11-01,1345.2338173506475
2021-11-02,1334.2671819222282
2021-11-03,1365.5384852902728
2021-11-04,1381.4349830836206
2021-11-05,1391.736360049601
2021-11-06,1367.2066661714616
2021-11-07,1345.6113992978787
2021-11-08,1380.2872524441962
2021-11-09,1395.8132808409102
2021-11-10,1383.0827164707182
2021-11-11,1371.0930163870235
2021-11-12,1387.7047241447551
2021-11-13,1380.208122889482
2021-11-14,1385.2773665573284
2021-11-15,1368.0790435546799
2021-11-16,1350.2874717849602
2021-11-17,1363.0231827325833
2021-11-18,1365.9282785359967
2021-11-19,1372.2018304185094
2021-11-20,1363.054942497983
2021-11-21,1359.8184714450613
2021-11-22,1363.6945735316706
2021-11-23,1348.0196237041914
2021-11-24,1328.883550062292
2021-11-25,1324.0543520406875
2021-11-26,1342.48073901747
2021-11-27,1346.023799382617
2021-11-28,1345.997666327689
2021-11-29,1324.0690068622855
2021-11-30,1324.9469731222955
