date,kw
2019/1/1,23758.797
2019/1/2,20231.6265
2019/1/3,20443.6182
2019/1/4,19858.1592
2019/1/5,19766.6994
2019/1/6,20706.7386
2019/1/7,19647.5301
2019/1/8,19536.6081
2019/1/9,19472.298
2019/1/10,19104.5562
2019/1/11,19187.9259
2019/1/12,17073.3141
2019/1/13,14190.024
2019/1/14,13924.0773
2019/1/15,14393.0619
2019/1/16,14880.5883
2019/1/17,14937.7992
2019/1/18,14602.7823
2019/1/19,13913.1204
2019/1/20,13305.2451
2019/1/21,13330.5747
2019/1/22,14054.0787
2019/1/23,13645.9623
2019/1/24,14155.8366
2019/1/25,13760.4123
2019/1/26,13245.4515
2019/1/27,13232.0529
2019/1/28,13036.6083
2019/1/29,12234.2742
2019/1/30,12421.5195
2019/1/31,12525.663
2019/2/1,11688.1047
2019/2/2,11479.8264
2019/2/3,11270.5461
2019/2/4,11192.8401
2019/2/5,11620.7343
2019/2/6,11612.8812
2019/2/7,12207.2238
2019/2/8,12108.5253
2019/2/9,12547.9176
2019/2/10,11775.7344
2019/2/11,11403.4233
2019/2/12,12344.4519
2019/2/13,12264.4032
2019/2/14,13144.5345
2019/2/15,13294.7646
2019/2/16,107.754
2019/2/17,13381.4526
2019/2/18,12731.1381
2019/2/19,13241.5239
2019/2/20,12844.9746
2019/2/21,14009.2512
2019/2/22,13333.8735
2019/2/23,13130.3781
2019/2/24,13697.5599
2019/2/25,14173.3458
2019/2/26,14432.2695
2019/2/27,14052.2463
2019/2/28,13640.556
2019/3/1,13870.4862
2019/3/2,14074.3806
2019/3/3,14291.8545
2019/3/4,13695.3024
2019/3/5,14752.5933
2019/3/6,14168.0187
2019/3/7,14260.5111
2019/3/8,14724.6903
2019/3/9,14679.3954
2019/3/10,14720.6247
2019/3/11,14088.1602
2019/3/12,13925.9013
2019/3/13,14090.0502
2019/3/14,14503.8879
2019/3/15,14199.5718
2019/3/16,14225.6604
2019/3/17,14851.9662
2019/3/18,14415.9063
2019/3/19,14762.7579
2019/3/20,15181.2531
2019/3/21,15801.108
2019/3/22,16616.8476
2019/3/23,247.872
2019/3/24,494.886
2019/3/25,14053.7067
2019/3/26,13644.8757
2019/3/27,14459.4603
2019/3/28,14847.3093
2019/3/29,15898.8408
2019/3/30,14898.8928
2019/3/31,15922.5858
2019/4/1,15099.0639
2019/4/2,14275.3035
2019/4/3,14716.9167
2019/4/4,15355.9731
2019/4/5,13923.6879
2019/4/6,14279.6475
2019/4/7,15906.9081
2019/4/8,16253.2269
2019/4/9,17310.3255
2019/4/10,18353.2815
2019/4/11,18522.9825
2019/4/12,16450.4154
2019/4/13,14760.5235
2019/4/14,16299.6663
2019/4/15,15082.0413
2019/4/16,15021.4506
2019/4/17,15320.7216
2019/4/18,16914.9987
2019/4/19,17162.4108
2019/4/20,16080.4644
2019/4/21,16738.3458
2019/4/22,16404.9525
2019/4/23,17320.332
2019/4/24,18908.637
2019/4/25,19147.0884
2019/4/26,21073.5612
2019/4/27,18258.1371
2019/4/28,17081.2317
2019/4/29,17902.5603
2019/4/30,18274.6503
2019/5/1,15677.1966
2019/5/2,16218.1377
2019/5/3,15561.8223
2019/5/4,15597.2751
2019/5/5,14539.3866
2019/5/6,14935.7247
2019/5/7,14871.5124
2019/5/8,15169.6452
2019/5/9,15031.1586
2019/5/10,15079.0704
2019/5/11,16980.4971
2019/5/12,17802.3813
2019/5/13,17955.6765
2019/5/14,19181.4528
2019/5/15,19596.1068
2019/5/16,20154.4131
2019/5/17,21843.7515
2019/5/18,22857.5958
2019/5/19,24033.4539
2019/5/20,23158.2477
2019/5/21,20722.8402
2019/5/22,19777.6911
2019/5/23,19547.6904
