date,kw
2019/1/1,51526.569
2019/1/2,63638.4294
2019/1/3,102048.2754
2019/1/4,104466.0762
2019/1/5,99507.3528
2019/1/6,92752.5162
2019/1/7,103008.1572
2019/1/8,95916.0342
2019/1/9,99121.317
2019/1/10,100170.5898
2019/1/11,99387.8736
2019/1/12,88231.848
2019/1/13,81903.0432
2019/1/14,84833.3448
2019/1/15,81276.8538
2019/1/16,78212.1468
2019/1/17,75423.753
2019/1/18,75346.464
2019/1/19,68855.4522
2019/1/20,63102.6102
2019/1/21,63279.4662
2019/1/22,56346.8544
2019/1/23,51101.2008
2019/1/24,45051.612
2019/1/25,44423.679
2019/1/26,42317.6316
2019/1/27,37531.0986
2019/1/28,35645.0478
2019/1/29,34036.7826
2019/1/30,31076.5764
2019/1/31,27491.793
2019/2/1,18571.0344
2019/2/2,17216.9772
2019/2/3,16134.1296
2019/2/4,16333.584
2019/2/5,16234.2726
2019/2/6,16045.7868
2019/2/7,16228.5366
2019/2/8,16396.3824
2019/2/9,15594.4416
2019/2/10,15972.7464
2019/2/11,16622.3304
2019/2/12,20452.554
2019/2/13,22638.5688
2019/2/14,26524.0062
2019/2/15,40255.6758
2019/2/16,218.904
2019/2/17,50435.3976
2019/2/18,52566.7086
2019/2/19,55820.3694
2019/2/20,58936.5642
2019/2/21,61111.3164
2019/2/22,66302.3832
2019/2/23,65781.8934
2019/2/24,70454.3598
2019/2/25,76269.195
2019/2/26,82972.8174
2019/2/27,82922.8002
2019/2/28,81783.7812
2019/3/1,85008.1818
2019/3/2,87346.3038
2019/3/3,81770.8014
2019/3/4,95851.5726
2019/3/5,97141.7946
2019/3/6,102810.5502
2019/3/7,102735.3732
2019/3/8,103113.2148
2019/3/9,99557.406
2019/3/10,95172.2136
2019/3/11,102215.8182
2019/3/12,103192.089
2019/3/13,104956.1148
2019/3/14,99662.6886
2019/3/15,107425.392
2019/3/16,102393.5316
2019/3/17,99648.1734
2019/3/18,113023.1634
2019/3/19,109989.8406
2019/3/20,105842.2224
2019/3/21,107613.6024
2019/3/22,107900.9766
2019/3/23,1695.486
2019/3/24,1484.442
2019/3/25,95784.2442
2019/3/26,95146.9044
2019/3/27,103581.8184
2019/3/28,102823.2336
2019/3/29,105450.633
