date,kw
2019/1/1,6179.9364
2019/1/2,10711.9704
2019/1/3,10079.0262
2019/1/4,9713.3055
2019/1/5,6958.3842
2019/1/6,6327.9399
2019/1/7,9207.039
2019/1/8,9105.5823
2019/1/9,9560.2095
2019/1/10,9690.6846
2019/1/11,8421.3138
2019/1/12,6113.1345
2019/1/13,5908.7964
2019/1/14,8404.2153
2019/1/15,7951.3584
2019/1/16,8757.7587
2019/1/17,8376.3204
2019/1/18,8151.3177
2019/1/19,6382.7394
2019/1/20,5788.92
2019/1/21,7180.7055
2019/1/22,7317.5781
2019/1/23,7091.1306
2019/1/24,6485.1657
2019/1/25,6437.1237
2019/1/26,4429.1286
2019/1/27,4143.0579
2019/1/28,5047.9317
2019/1/29,5022.3501
2019/1/30,4590.1098
2019/1/31,4507.2798
2019/2/1,4431.3387
2019/2/2,4133.5731
2019/2/3,3819.8385
2019/2/4,3046.3062
2019/2/5,3226.5792
2019/2/6,3079.9038
2019/2/7,3247.6896
2019/2/8,3212.7159
2019/2/9,3186.9318
2019/2/10,3131.0994
2019/2/11,4435.9197
2019/2/12,4286.8362
2019/2/13,4633.5651
2019/2/14,4810.707
2019/2/15,5071.3692
2019/2/16,4047.7119
2019/2/17,4104.4272
2019/2/18,6036.7914
2019/2/19,6112.83
2019/2/20,6145.8384
2019/2/21,6680.1558
2019/2/22,6722.9943
2019/2/23,4870.3551
2019/2/24,5164.3017
2019/2/25,7952.3295
2019/2/26,7845.1419
2019/2/27,7890.9975
2019/2/28,8106.5202
2019/3/1,7735.2924
2019/3/2,6002.8362
2019/3/3,5263.3683
2019/3/4,7556.0895
2019/3/5,7859.0031
2019/3/6,8046.3447
2019/3/7,7930.6569
2019/3/8,8014.5408
2019/3/9,5844.0132
2019/3/10,5660.0796
2019/3/11,7681.1097
2019/3/12,7642.4181
2019/3/13,7809.7461
2019/3/14,8196.6618
2019/3/15,8208.7932
2019/3/16,6091.2501
2019/3/17,5510.6679
2019/3/18,7887.4557
2019/3/19,7725.3486
2019/3/20,8508.1659
2019/3/21,8828.1
2019/3/22,9488.7186
2019/3/23,5960.0292
2019/3/24,5620.8474
2019/3/25,7974.2439
2019/3/26,7875.2127
2019/3/27,7902.9828
2019/3/28,8404.104
2019/3/29,8755.947
2019/3/30,5909.9982
2019/3/31,6294.4425
2019/4/1,7717.1916
2019/4/2,7590.0399
2019/4/3,7808.2374
2019/4/4,7774.6056
2019/4/5,5056.6065
2019/4/6,5607.7536
2019/4/7,6184.1355
2019/4/8,9933.8649
2019/4/9,10581.7962
2019/4/10,11294.3784
2019/4/11,11172.5421
2019/4/12,8251.1751
2019/4/13,6307.2669
2019/4/14,6543.693
2019/4/15,8536.4196
2019/4/16,8230.0707
2019/4/17,8590.9896
2019/4/18,8978.8389
2019/4/19,8960.9748
2019/4/20,6779.214
2019/4/21,6751.4241
2019/4/22,10528.7145
2019/4/23,11513.8758
2019/4/24,12196.4793
2019/4/25,12840.2838
2019/4/26,12978.0828
2019/4/27,6936.0543
2019/4/28,10181.5893
2019/4/29,11387.589
2019/4/30,10911.9171
2019/5/1,5493.9531
2019/5/2,5358.5358
2019/5/3,6220.5999
2019/5/4,6423.2439
2019/5/5,8577.294
2019/5/6,8371.7553
2019/5/7,8144.8527
2019/5/8,8532.9819
2019/5/9,8261.4351
