date,kw
2019/1/1,4093.0467
2019/1/2,3971.5308
2019/1/3,4033.8369
2019/1/4,4145.8497
2019/1/5,3965.1792
2019/1/6,3865.3926
2019/1/7,3669.0396
2019/1/8,3960.378
2019/1/9,4016.7975
2019/1/10,3898.9248
2019/1/11,4021.524
2019/1/12,3575.019
2019/1/13,3615.9144
2019/1/14,3624.5088
2019/1/15,3513.732
2019/1/16,3980.9811
2019/1/17,4042.4142
2019/1/18,3784.9626
2019/1/19,3615.8835
2019/1/20,3563.985
2019/1/21,3615.7188
2019/1/22,3626.0559
2019/1/23,3723.3174
2019/1/24,3531.9468
2019/1/25,3296.3307
2019/1/26,3110.1102
2019/1/27,2963.8668
2019/1/28,2894.8959
2019/1/29,2775.2802
2019/1/30,2663.7027
2019/1/31,2617.5417
2019/2/1,2582.715
2019/2/2,2567.4282
2019/2/3,2540.6772
2019/2/4,2265.9003
2019/2/5,2135.0706
2019/2/6,2104.0323
2019/2/7,2271.948
2019/2/8,2298.0531
2019/2/9,2403.081
2019/2/10,2428.8414
2019/2/11,2394.0468
2019/2/12,2544.6738
2019/2/13,2514.474
2019/2/14,2593.8552
2019/2/15,2681.1744
2019/2/16,-1.35
2019/2/17,2648.9886
2019/2/18,2739.411
2019/2/19,2869.6299
2019/2/20,2825.0994
2019/2/21,3067.8894
2019/2/22,3097.7124
2019/2/23,2878.6431
2019/2/24,3019.5117
2019/2/25,3083.1
2019/2/26,3193.8828
2019/2/27,3428.6175
2019/2/28,3347.556
2019/3/1,3219.9243
2019/3/2,3161.9568
2019/3/3,3126.0867
2019/3/4,3201.8463
2019/3/5,3296.6961
2019/3/6,3392.613
2019/3/7,3289.7226
2019/3/8,3422.0913
2019/3/9,3257.2623
2019/3/10,3250.0632
2019/3/11,3256.4865
2019/3/12,3359.4693
2019/3/13,3366.7998
2019/3/14,3381.5445
2019/3/15,3426.7869
2019/3/16,3319.0353
2019/3/17,3259.0842
2019/3/18,3158.6898
2019/3/19,3377.8857
2019/3/20,3428.8104
2019/3/21,3448.0668
2019/3/22,3889.4868
2019/3/23,10.8
2019/3/24,0.672
2019/3/25,3283.3326
2019/3/26,3472.6392
2019/3/27,3489.0306
2019/3/28,3537.2772
