date,kw
2019/10/10,892.5384
2019/10/11,978.3816
2019/10/12,1020.0588
2019/10/13,965.6964
2019/10/14,943.8792
2019/10/15,969.5412
2019/10/16,864.786
2019/10/17,861.5748
2019/10/18,842.7576
2019/10/19,830.6784
2019/10/20,831.1956
2019/10/21,852.6804
2019/10/22,849.2664
2019/10/23,843.858
2019/10/24,848.91
2019/10/25,833.07
2019/10/26,815.1084
2019/10/27,782.8716
2019/10/28,738.6672
2019/10/29,684.204
2019/10/30,735.0336
2019/10/31,682.2624
2019/11/1,688.1532
2019/11/2,800.082
2019/11/3,539.9652
2019/11/4,755.4516
2019/11/5,695.442
2019/11/6,718.9188
2019/11/7,706.6524
2019/11/8,706.5672
2019/11/9,-10.944
2019/11/10,705.1152
2019/11/11,702.9252
2019/11/12,759.1692
2019/11/13,814.0764
2019/11/14,714.5148
2019/11/15,691.59
2019/11/16,781.3488
2019/11/17,726.1224
2019/11/18,748.6968
2019/11/19,657.6768
2019/11/20,664.5768
2019/11/21,683.85
2019/11/22,664.1088
2019/11/23,683.6352
2019/11/24,723.1704
2019/11/25,772.5144
2019/11/26,702.372
2019/11/27,702.438
2019/11/28,647.1588
2019/11/29,637.4328
2019/11/30,667.5924
2019/12/1,655.2996
2019/12/2,407.2428
2019/12/3,651.8616
2019/12/4,629.0628
2019/12/5,649.2552
2019/12/6,636.1416
2019/12/7,629.004
2019/12/8,596.6952
2019/12/9,614.5152
2019/12/10,680.0292
2019/12/11,651.5904
2019/12/12,660.5928
2019/12/13,658.8516
2019/12/14,651.4152
2019/12/15,658.5636
2019/12/16,691.08
2019/12/17,788.0496
2019/12/18,796.5012
2019/12/19,712.914
2019/12/20,678.5916
2019/12/21,647.076
2019/12/22,634.368
2019/12/23,658.554
2019/12/24,697.5156
2019/12/25,672.0588
2019/12/26,665.4804
2019/12/27,659.3064
2019/12/28,648.2568
2019/12/29,649.716
2019/12/30,655.74
2019/12/31,688.2924
2020/1/1,654.6024
2020/1/2,663.7908
2020/1/3,692.2044
2020/1/4,374.5848
2020/1/5,648.5304
2020/1/6,645.2064
2020/1/7,653.5416
2020/1/8,664.3752
2020/1/9,535.8324
2020/1/10,659.6184
2020/1/11,647.136
2020/1/12,487.3824
2020/1/13,622.8468
2020/1/14,658.1604
2020/1/15,662.7792
2020/1/16,640.3068
2020/1/17,625.8792
2020/1/18,518.22
2020/1/19,571.5216
2020/1/20,597.5832
2020/1/21,562.6284
2020/1/22,584.0688
2020/1/23,516.8232
2020/1/24,511.29
2020/1/25,572.0664
2020/1/26,329.6604
2020/1/27,268.4772
2020/1/28,191.2452
2020/1/29,208.1472
2020/1/30,199.8384
2020/1/31,240.2424
2020/2/1,279.7164
2020/2/2,428.2128
2020/2/3,547.1844
2020/2/4,558.0804
2020/2/5,582.774
2020/2/6,488.364
2020/2/7,575.1696
2020/2/8,352.5996
2020/2/9,421.8084
2020/2/10,702.642
2020/2/11,700.0512
2020/2/12,180.684
2020/2/13,720.738
2020/2/14,610.9104
2020/2/15,605.886
2020/2/16,733.992
2020/2/17,488.2596
2020/2/18,542.5524
2020/2/19,589.4892
2020/2/20,573.336
2020/2/21,581.8476
2020/2/22,536.9892
2020/2/23,560.0652
2020/2/24,625.1496
2020/2/25,622.4916
2020/2/26,799.0884
2020/2/27,743.5992
2020/2/28,788.4204
2020/2/29,694.5816
2020/3/1,804.6168
2020/3/2,826.6068
2020/3/3,777.816
2020/3/4,777.6504
2020/3/5,764.7288
2020/3/6,769.638
2020/3/7,796.5756
2020/3/8,801.0216
2020/3/9,823.6032
2020/3/10,785.3736
2020/3/11,858.96
2020/3/12,867.5136
2020/3/13,934.6056
2020/3/14,775.9704
2020/3/15,874.314
2020/3/16,896.568
2020/3/17,912.6756
2020/3/18,931.9332
2020/3/19,903.7956
2020/3/20,769.3824
2020/3/21,985.5492
2020/3/22,995.718
2020/3/23,1030.23
2020/3/24,1056.7764
2020/3/25,1036.806
2020/3/26,1046.6652
2020/3/27,1145.4036
2020/3/28,953.85
2020/3/29,852.2832
2020/3/30,782.6292
2020/3/31,853.8708
2020/4/1,972.864
2020/4/2,952.7328
2020/4/3,955.2876
2020/4/4,738.618
2020/4/5,1013.982
2020/4/6,960.3828
2020/4/7,998.0052
2020/4/8,1013.3148
2020/4/9,872.6532
2020/4/10,982.8312
2020/4/11,1122.1596
2020/4/12,536.0796
2020/4/13,644.4252
2020/4/14,985.5156
2020/4/15,847.6812
2020/4/16,926.802
2020/4/17,1152.1176
2020/4/18,1210.5564
2020/4/19,1204.1628
2020/4/20,1341.4764
2020/4/21,1383.3888
2020/4/22,1279.3632
2020/4/23,1078.4076
2020/4/24,1104.0444
2020/4/25,856.83
2020/4/26,1010.4948
2020/4/27,1142.142
2020/4/28,1235.0724
2020/4/29,1150.5408
2020/4/30,1341.1572
2020/5/1,1332.6276
2020/5/2,1385.2872
2020/5/3,1425.4428
2020/5/4,1588.7004
2020/5/5,1608.738
2020/5/6,1856.5872
2020/5/7,1738.7496
2020/5/8,1895.5368
2020/5/9,1740.5916
