date,value
2019/1/1,3562003.507
2019/2/1,3242222.997
2019/3/1,3721202.981
2019/4/1,4152608.513
2019/5/1,4433012.411
2019/6/1,3860505.819
2019/7/1,6102992.974
2019/8/1,6050395.271
2019/9/1,5573586.257
2019/10/1,5385431.025
2019/11/1,2223739.114
2019/12/1,1685398.719
2020/1/1,1341359.591
2020/2/1,673944.6582
2020/3/1,1285200
2020/4/1,1440768.425
2020/5/1,2655151.721
2020/6/1,2901672.408
2020/7/1,3385776.542
2020/8/1,3137546.961
2020/9/1,2858937.051
2020/10/1,2041967.693
2020/11/1,1806227.357
2020/12/1,1568582.56
2021/1/1,1445995.11
2021/2/1,1146313.622
2021/3/1,1681249.684
2021/4/1,1889694.635
2021/5/1,2804552.572
2021/6/1,2415591.484
2021/7/1,3118793.326
2021/8/1,3040874.558
