date,value
2019/1/1,498577.0038
2019/2/1,342732.2349
2019/3/1,424369.3575
2019/4/1,498199.506
2019/5/1,567893.4219
2019/6/1,485591.2843
2019/7/1,612966.1782
2019/8/1,740050.5474
2019/9/1,649490.1468
2019/10/1,590675.2773
2019/11/1,461182.3104
2019/12/1,438082.6278
2020/1/1,400572.9546
2020/2/1,276658.3692
2020/3/1,363071.0415
2020/4/1,382650.1662
2020/5/1,592500.2298
2020/6/1,632589.9198
2020/7/1,703862.5581
2020/8/1,658000.5285
2020/9/1,612857.4294
2020/10/1,510236.6106
2020/11/1,441788.0532
2020/12/1,436152.0498
2021/1/1,415152.6432
2021/2/1,327172.1196
2021/3/1,446171.763
2021/4/1,403608.2802
2021/5/1,554101.6308
2021/6/1,516143.1498
2021/7/1,643689.4992
2021/8/1,605735.9736
