date,value
2019/1/1,2177030
2019/2/1,1096798
2019/3/1,2924338
2019/4/1,3094599
2019/5/1,3042866
2019/6/1,2022454
2019/7/1,2553202
2019/8/1,3208897
2019/9/1,2991067
2019/10/1,2900439
2019/11/1,2845377
2019/12/1,2783951
2020/1/1,1434015.848
2020/2/1,831401.055
2020/3/1,2287177.442
2020/4/1,2446373.273
2020/5/1,2748540.917
2020/6/1,2632138.375
2020/7/1,2811830.28
2020/8/1,2886688.848
2020/9/1,2937657.997
2020/10/1,2874855.248
2020/11/1,2708858.101
2020/12/1,2890543.203
2021/1/1,2127737.945
2021/2/1,916505.442
2021/3/1,2765327.794
2021/4/1,2331049.821
2021/5/1,2423205.802
2021/6/1,2693805.586
2021/7/1,2719847.695
2021/8/1,2302481.016
