date,value
2019/1/1,224041.5141
2019/2/1,139434.7683
2019/3/1,228188.4681
2019/4/1,268125.8043
2019/5/1,324357.7533
2019/6/1,352161.9957
2019/7/1,386474.3379
2019/8/1,353022.4545
2019/9/1,353334.4539
2019/10/1,291110.8077
2019/11/1,229298.8524
2019/12/1,220158.2673
2020/1/1,155184.9042
2020/2/1,107929.6587
2020/3/1,153458.4999
2020/4/1,166198.3068
2020/5/1,299007.8961
2020/6/1,333394.2666
2020/7/1,355041.0381
2020/8/1,290788.5635
2020/9/1,313642.5626
2020/10/1,184933.665
2020/11/1,172999.0227
2020/12/1,171928.6845
2021/1/1,148889.037
2021/2/1,90698.9982
2021/3/1,163695.8358
2021/4/1,174092.8248
2021/5/1,279978.9918
2021/6/1,277043.295
2021/7/1,271103.9106
2021/8/1,251798.1792
