date,value
2019/1/1,111777.6675
2019/2/1,72524.6631
2019/3/1,97762.722
2019/4/1,117684.7584
2019/5/1,139953.4815
2019/6/1,124572.6843
2019/7/1,137878.1178
2019/8/1,156865.5189
2019/9/1,156447.5805
2019/10/1,135092.3502
2019/11/1,101538.1128
2019/12/1,97991.2038
2020/1/1,83380.845
2020/2/1,64176.8463
2020/3/1,81487.1259
2020/4/1,82834.7313
2020/5/1,137617.3764
2020/6/1,141756.4542
2020/7/1,142074.5619
2020/8/1,112560.4533
2020/9/1,116139.4188
2020/10/1,84425.7177
2020/11/1,70107.4209
2020/12/1,67153.83
2021/1/1,62695.7463
2021/2/1,46846.7574
2021/3/1,68639.0964
2021/4/1,61720.6836
2021/5/1,96974.2782
2021/6/1,102963.1734
2021/7/1,100519.1832
2021/8/1,90876.9174
